SL,Division Code,Division Name,District Code,District Name,Upazilla Code,Upazilla Name,Union code,Union name,Total Population
1.,40,Khulna,01,Bagerhat,08,Bagerhat Sadar,01,Ward No-01,5339
2.,40,Khulna,01,Bagerhat,08,Bagerhat Sadar,02,Ward No-02,5406
3.,40,Khulna,01,Bagerhat,08,Bagerhat Sadar,03,Ward No-03,7688
4.,40,Khulna,01,Bagerhat,08,Bagerhat Sadar,04,Ward No-04,4530
5.,40,Khulna,01,Bagerhat,08,Bagerhat Sadar,05,Ward No-05,4297
6.,40,Khulna,01,Bagerhat,08,Bagerhat Sadar,06,Ward No-06,3869
7.,40,Khulna,01,Bagerhat,08,Bagerhat Sadar,07,Ward No-07,5210
8.,40,Khulna,01,Bagerhat,08,Bagerhat Sadar,08,Ward No-08,7394
9.,40,Khulna,01,Bagerhat,08,Bagerhat Sadar,09,Ward No-09,5340
10.,40,Khulna,01,Bagerhat,58,Mongla,02,Ward No-02,4156
11.,40,Khulna,01,Bagerhat,58,Mongla,03,Ward No-03,3117
12.,40,Khulna,01,Bagerhat,58,Mongla,04,Ward No-04,6945
13.,40,Khulna,01,Bagerhat,58,Mongla,05,Ward No-05,1841
14.,40,Khulna,01,Bagerhat,58,Mongla,06,Ward No-06,2750
15.,40,Khulna,01,Bagerhat,58,Mongla,07,Ward No-07,7032
16.,40,Khulna,01,Bagerhat,58,Mongla,08,Ward No-08,3634
17.,40,Khulna,01,Bagerhat,58,Mongla,09,Ward No-09,4701
18.,40,Khulna,01,Bagerhat,60,Morrelganj,01,Ward No-01,2370
19.,40,Khulna,01,Bagerhat,60,Morrelganj,02,Ward No-02,2431
20.,40,Khulna,01,Bagerhat,60,Morrelganj,03,Ward No-03,2504
21.,40,Khulna,01,Bagerhat,60,Morrelganj,04,Ward No-04,2917
22.,40,Khulna,01,Bagerhat,60,Morrelganj,05,Ward No-05,2728
23.,40,Khulna,01,Bagerhat,60,Morrelganj,06,Ward No-06,2781
24.,40,Khulna,01,Bagerhat,60,Morrelganj,07,Ward No-07,2490
25.,40,Khulna,01,Bagerhat,60,Morrelganj,08,Ward No-08,1742
